X Y
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H A
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H B
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
H C
